Tipo hidrocarburo,Hidrocarburo,Ruta de degradacion
Aliphatics Hydrocarbons,n-alkanes,n-alkanes degradation
Aliphatics Hydrocarbons,alkenes,alkenes degradation
Aliphatics Hydrocarbons,alkynes,alkynes degradation
Monocyclic Aromatic Hydrocarbons,benzene,benzene degradation
Monocyclic Aromatic Hydrocarbons,toluene,toluene degradation
Monocyclic Aromatic Hydrocarbons,ethylbenzene,ethylbenzene degradation
Monocyclic Aromatic Hydrocarbons,xylene,xylene degradation
Polycyclic Aromatic Hydrocarbons,naphthalene,naphthalene degradation
Polycyclic Aromatic Hydrocarbons,fluorene,fluorene degradation
Polycyclic Aromatic Hydrocarbons,anthracene,anthracene degradation
Polycyclic Aromatic Hydrocarbons,phenanthrene,phenanthrene degradation
Polycyclic Aromatic Hydrocarbons,pyrene,pyrene degradation
Polycyclic Aromatic Hydrocarbons,chrysene,chrysene degradation
Polycyclic Aromatic Hydrocarbons,benzo(a)pyrene,benzo(a)pyrene degradation
Polycyclic Aromatic Hydrocarbons,benz(a)anthacene,benz(a)anthacene degradation
Polycyclic Aromatic Hydrocarbons,dibenzofuran,dibenzofuran degradation
Polycyclic Aromatic Hydrocarbons,dibenzothiophene,dibenzothiophene degradation
Polycyclic Aromatic Hydrocarbons,Benzo[k]fluoranthene,Benzo[k]fluoranthene degradation
